features,label
"[ 7.68606520e+00  1.63436353e+00  2.35073338e+01 -8.75030085e-02
 -9.92225552e+00  2.73423702e-01  6.96217823e+00 -1.71986490e-01
  1.68991172e+00  2.17946991e-01 -1.97905076e+00 -9.37950313e-02
  2.08286071e+00  4.40892763e-02  6.74912691e-01 -1.80057418e-02
 -3.33924323e-01  1.69523228e-02  8.41927767e-01 -4.11642017e-03
  2.67113507e-01 -3.52777988e-02 -1.90365106e-01 -1.20591733e-03
  4.68874760e-02 -5.05431034e-02  3.15175414e-01 -4.70856344e-03
 -1.61600247e-01 -5.19503132e-02 -4.06658828e-01 -6.16922565e-02
  4.92231101e-01 -6.58343732e-02 -1.09985995e+00 -8.90373513e-02
  4.29548733e-02 -7.91323856e-02 -2.71637052e-01 -1.18311375e-01]",congolese hip hop and rap
"[ 4.30697632e+00  6.66534185e-01  2.15018139e+01 -5.80518954e-02
 -8.99725056e+00  9.14184079e-02  7.87398624e+00  1.23986155e-02
 -9.66605484e-01  1.71496853e-01 -2.59287775e-01 -4.38643768e-02
  1.97532034e+00  4.15363386e-02 -8.34692478e-01  1.55679900e-02
  2.51352489e-01  6.42418936e-02  4.91809845e-01  2.46980879e-02
 -4.29293066e-01  7.34624919e-03 -1.29178077e-01 -3.23584341e-02
  3.68191183e-01 -1.08472236e-01 -4.70403016e-01 -1.88669767e-02
  5.54138534e-02 -4.66085523e-02  3.94607335e-02 -4.05641198e-02
 -5.84522307e-01 -5.59686348e-02  2.02799544e-01 -1.42121175e-02
 -4.84904408e-01 -7.15433657e-02 -3.81272733e-01 -1.39696494e-01]",congolese hip hop and rap
"[-8.2253418e+00  4.5619545e+00  2.4413658e+01 -2.1644190e-01
 -3.9926302e+00  8.7059289e-02  7.5118866e+00 -7.5396973e-01
  3.1072674e+00 -1.7350018e-02 -3.9541525e-01 -2.7859616e-01
  2.5885494e+00 -1.4273188e-01  3.9994359e-02 -4.9007159e-02
 -3.6395365e-01 -8.0140598e-02  7.4826932e-01 -3.6578279e-02
 -1.9327401e-01 -2.9065549e-02 -2.6203784e-01 -1.0035055e-02
  2.4465343e-01 -7.8195602e-02 -3.2941481e-01  4.7413751e-02
 -1.0971039e-01 -9.4614126e-02 -1.6040759e-01  3.2980613e-02
  7.9879150e-02 -8.3525322e-02 -7.3963273e-01 -7.5252339e-02
 -2.4641944e-02 -1.2030399e-01 -6.9868922e-01 -1.6620249e-01]",congolese hip hop and rap
"[ 1.73882675e+00  6.94406891e+00  1.59226980e+01  2.21869755e+00
 -7.52817965e+00  1.67096412e+00  8.46768093e+00  5.95347583e-01
 -3.15512848e+00  8.73825490e-01  1.58779776e+00  2.87214309e-01
  1.60304844e+00  3.92021745e-01 -1.75475729e+00  1.33124188e-01
  1.15228045e+00  2.16102883e-01 -3.41014624e-01  4.17548567e-02
 -8.09048355e-01  1.72133118e-01  1.07896246e-01 -8.51158053e-03
 -2.75661703e-02  1.24177918e-01 -1.66464067e+00 -5.71821518e-02
  1.34341979e+00  9.26942602e-02 -1.15855515e+00 -1.02430508e-01
 -2.54789084e-01  5.68646379e-02  7.38644779e-01 -1.31064698e-01
 -1.73640430e+00  3.08327265e-02  8.26440990e-01 -1.34007916e-01]",congolese hip hop and rap
"[-6.83976555e+00  6.64852667e+00  2.55753365e+01  1.67968047e+00
 -6.27442408e+00  1.83793259e+00  3.78903151e+00  2.63724513e-02
  2.81292701e+00  8.19209576e-01 -1.47294533e+00  2.51585335e-01
  1.06115532e+00 -5.35240048e-04 -1.90653130e-01  1.11040302e-01
 -6.27101600e-01 -4.32962459e-03  3.78453523e-01  4.16686498e-02
 -3.30556273e-01 -5.23802936e-02 -2.46387646e-01 -1.19894303e-01
  3.38081867e-01 -7.69750997e-02 -6.84162602e-02 -2.45321020e-02
 -6.27535582e-02 -2.18335971e-01  1.05030276e-01 -1.15733899e-01
 -2.80525349e-02 -1.27989471e-01 -7.44887829e-01 -9.72918570e-02
  2.79282629e-01 -1.97584599e-01 -4.96109277e-01 -1.50296047e-01]",congolese hip hop and rap
"[-6.24182     2.9680202  24.0804     -0.05957906 -9.339322    0.18328236
  5.7121515  -0.4962932   1.9445027  -0.04362487 -1.1320161  -0.24698606
  2.1531913  -0.10391196  0.04632111 -0.13283354 -0.5463962  -0.10439458
  0.38677067 -0.11348294 -0.1955716  -0.17091528 -0.14502224 -0.19166781
  0.22910318 -0.22669154 -0.05528242 -0.17085128 -0.3347215  -0.1668609
  0.05378704 -0.13740587 -0.11026417 -0.11316963 -0.69805866 -0.08115911
  0.02801809 -0.10278896 -0.43528122 -0.1294914 ]",congolese hip hop and rap
"[-2.2534595e+00  3.3955300e+00  2.5694180e+01 -1.6789156e-01
 -6.8385711e+00  3.3573547e-01  6.1718149e+00 -4.1643697e-01
  1.6198993e+00 -2.0278119e-02 -7.6826966e-01 -2.9564893e-01
  2.2265642e+00 -1.0804350e-01 -5.0550379e-02 -1.8265738e-01
  7.5146154e-02 -2.5821191e-01  7.6567852e-01 -2.2898629e-01
 -1.0775120e-01 -2.4241470e-01 -2.1878798e-03 -2.6179600e-01
  3.0358490e-01 -2.4323475e-01 -2.8093189e-01 -1.1854677e-01
 -6.7031421e-02 -1.2547149e-01 -1.4102502e-02 -6.8064943e-02
 -2.1401879e-01 -6.0271483e-02 -2.9157388e-01 -5.2853633e-02
 -5.4638438e-02 -1.0039217e-01 -5.4967600e-01 -1.4183737e-01]",congolese hip hop and rap
"[-6.097383    2.0815988  25.423235   -0.65806776 -5.4438486   0.3607881
  6.701875    0.14936855 -0.7537987   0.19054537 -0.40708652 -0.26584423
  2.713246   -0.14348105 -0.9683516  -0.06611469  0.29579577 -0.16201368
  0.7258431  -0.22838719 -0.38132355 -0.22140081  0.19189075 -0.14605212
  0.25168642 -0.16628231 -0.47119588 -0.16609931  0.41327804 -0.18922122
 -0.13431062 -0.1446229  -0.3713165  -0.15297146 -0.03989921 -0.15201446
 -0.21735804 -0.14907475 -0.44534373 -0.13698025]",congolese hip hop and rap
"[-2.865744    4.6331916  21.982597    0.4364285  -7.2807407   0.17350788
  8.785225   -0.42095798  0.5135131   0.0898388  -0.6047633  -0.32211065
  1.2636443   0.04582452 -1.4885269  -0.14319734  0.16768928 -0.09529779
  0.03579461 -0.07236305 -0.8619715  -0.10398852  0.15073892 -0.07976469
  0.28042623 -0.10748629 -0.4511197  -0.07382857  0.28941545 -0.12496403
 -0.11276823 -0.0517245  -0.48114398 -0.12275908  0.1132294  -0.08427362
 -0.55607986 -0.08651014 -0.48510158 -0.12695782]",congolese hip hop and rap
"[-15.66376      5.7844367   19.939913     1.2217373   -6.1229715
   0.3914448    8.563653    -0.06719689  -0.11765325   0.11123867
   0.6735344   -0.32397184   2.7044876   -0.02237397  -0.9302207
  -0.24784423   0.47268593  -0.19202575   0.13451765  -0.15749514
  -0.22360604  -0.22297601   0.34330758  -0.16868748   0.55549204
  -0.21220666  -0.23502338  -0.11920767   0.72425044  -0.24266104
  -0.14590189  -0.07798333  -0.78512037  -0.17371291   0.45102346
  -0.17868184  -0.7886614   -0.06966586  -0.24091645  -0.24249795]",congolese hip hop and rap
